,Metropolitan area name,Country,ESPON Functional Urban Area (2006)[1],Eurostat Larger urban zone (2014)[2],OECD Metropolitan region (2006)[3]
0,Amsterdam metropolitan area,Netherlands,"2,497,000[a]",2437114,"7,500,000[a]"
1,Antwerp,Belgium,"1,406,000[b]",998211,No Data
2,Athens,Greece,3761000,3863763,3900000
3,Barcelona metropolitan area,Spain,"4,082,000[c]",5445616,4900000
4,Belgrade,Serbia,,,
5,Berlin,Germany,4016000,5005216,6000000
6,Bilbao,Spain,947000,1025109,No data
7,Birmingham (West Midlands),United Kingdom,3701107,4332629,2600000
8,Bremen,Germany,1077000,1244363,No data
9,Bristol,United Kingdom,1041000,1090080,No data
10,Brussels-Capital Region,Belgium,"2,639,000[b]",2967513,3800000
11,Bucharest metropolitan area,Romania,2064000,2267419,No data
12,Budapest metropolitan area,Hungary,2523000,2971246,2800000
13,Cardiff,United Kingdom,1097000,1125526,No data
14,Copenhagen,Denmark,"1,881,000[d]",1893010,"3,900,000[4][5]"
15,Donetsk,Ukraine,No data,No data,No data
16,Dnipro,Ukraine,No data,No data,No data
17,Dublin Metropolitan Area,Ireland,1477000,1742600,1800000
18,Frankfurt/Rhine-Main Region,Germany,"2,764,000[e]",2573745,5600000
19,Greater Glasgow,United Kingdom,1395000,1889003,No data
20,The Hague,Netherlands,"1,404,000[a]",No data,Not listed[a]
21,Hamburg Metropolitan Region,Germany,2983000,3173871,4600000
22,Helsinki Metropolitan Area,Finland,1285000,1532309,1800000
23,Istanbul[f],Turkey,No data,No data,11400000
24,Katowice metropolitan area,Poland,"3,029,000[g]",2743929,No data
25,Kazan,Russia,No data,No data,No data
26,Kharkiv,Ukraine,No data,No data,No data
27,Kiev metropolitan area,Ukraine,No data,No data,No data
28,Kraków metropolitan area,Poland,1236000,1276438,2100000
29,West Yorkshire (Bradford - Leeds),United Kingdom,2302000,2638127,2100000
30,Lille–Kortrijk–Tournai,France/  Belgium,"1,379,000[h]",2572374,2600000
31,Lisbon Metropolitan Area,Portugal,2591000,2839908,2700000
32,Liverpool/Birkenhead,United Kingdom,2241000,2552000,No data
33,Łódź,Poland,1165000,1116660,No data
34,Wrocław,Poland,No data,No data,No data
35,London metropolitan area,United Kingdom,14309000,14831830,8200000
36,Lyon,France,1669000,2188759,1600000
37,Madrid metropolitan area,Spain,5263000,6529700,5600000
38,Greater Manchester,United Kingdom,2556000,2815144,2500000
39,Marseille,France,1530000,No data,No data
40,Milan metropolitan area,Italy,"7,636,000[i]",7867946,8447125
41,Minsk,Belarus,No data,No data,No data
42,Moscow metropolitan area,Russia,No data,No data,No data
43,Munich,Germany,"2,665,000[j]",2808581,6100000
44,Naples metropolitan area,Italy,"3,714,000[6]",3127390,3100000
45,Nice,France,1082000,1082847,No data
46,Nizhny Novgorod,Russia,No data,No data,No data
47,Nottingham-Derby,United Kingdom,1534000,1729096,No data
48,Nuremberg Metropolitan Region,Germany,1443000,1301504,No data
49,Odessa,Ukraine,No data,No data,No data
50,Greater Oslo,Norway,1037000,1144883,1700000
51,Paris metropolitan area,France,11175000,12005077,11200000
52,Perm,Russia,No data,No data,No data
53,Porto Metropolitan Area,Portugal,"1,245,000[k]",1286111,No data
54,Portsmouth-Southampton,United Kingdom,1547000,1698402,No data
55,Prague,Czech Republic,1669000,2522136,2300000
56,Rhein-Nord[l] (Düsseldorf - Neuss),Germany,"3,073,000[m]",No Data,Not listed[a]
57,Rhein-Süd[l] (Cologne - Bonn),Germany,"3,070,000[m]","3,023,545[n]",Not listed[a]
58,Riga,Latvia,1195000,1089767,No data
59,Rome metropolitan area,Italy,5190000,5800000,5356271
60,Rostov-on-Don,Russia,No data,No data,No data
61,Rotterdam,Netherlands,"1,904,000[a]",2808550,Not listed[a]
62,Ruhr area,Germany,"5,376,000[m]",5045784,"13,400,000[m]"
63,Saarbrücken - Forbach,Germany/  France,1102000,822128,No data
64,Saint Petersburg,Russia,No data,No data,No data
65,Samara,Russia,No data,No data,No data
66,Saratov,Russia,No data,No data,No data
67,Seville,Spain,"1,180,000[o]",1877060,No data
68,Sofia,Bulgaria,1260120,1543377,1681666
69,Metropolitan Stockholm,Sweden,2171000,2034354,2200000
70,South Yorkshire (Sheffield),United Kingdom,1869000,2136298,No data
71,Stuttgart Metropolitan Region,Germany,2289000,2678795,2700000
72,Thessaloniki Metropolitan Area,Greece,1052000,1166914,No data
73,Turin metropolitan area,Italy,"1,601,000[p]",2302353,2200000
74,Newcastle-Sunderland,United Kingdom,1599000,1641879,No data
75,Ufa,Russia,No data,No data,No data
76,Valencia,Spain,"1,398,000[q]",2516818,2300000
77,Vienna,Austria,2584000,2339807,2200000
78,Volgograd,Russia,No data,No data,No data
79,Warsaw metropolitan area,Poland,2785000,3304641,3000000
80,Zagreb,Croatia,1107115,1123374,No data
81,Zürich metropolitan area,Switzerland,1615000,1984534,2500000
